year,state,state_po,district_id,candidate,party,candidatevotes,totalvotes,vote_pct,avg_poll_pct,n_polls,poll_candidate_matched,match_score,source
1998,California,CA,CA-13,James R Goetz,REPUBLICAN,38050,142787,26.6481,,,,,MEDSL
1998,California,CA,CA-13,Karnig Beylikjian,NATURAL LAW,3066,142787,2.1473,,,,,MEDSL
1998,California,CA,CA-14,Anna G Eshoo,DEMOCRAT,129663,188910,68.6374,,,,,MEDSL
1998,California,CA,CA-14,"John C ""Chris"" Haugen",REPUBLICAN,53719,188910,28.4363,,,,,MEDSL
1998,California,CA,CA-14,Joseph W Dehn Iii,LIBERTARIAN,3166,188910,1.6759,,,,,MEDSL
1998,California,CA,CA-14,Anna Currivan,NATURAL LAW,2362,188910,1.2503,,,,,MEDSL
1998,California,CA,CA-15,Tom Campbell,REPUBLICAN,111876,184778,60.5462,,,,,MEDSL
1998,California,CA,CA-15,Dick Lane,DEMOCRAT,70059,184778,37.9152,,,,,MEDSL
1998,California,CA,CA-15,Frank Strutner,NATURAL LAW,2843,184778,1.5386,,,,,MEDSL
1998,California,CA,CA-16,Zoe Lofgren,DEMOCRAT,85503,117414,72.8218,,,,,MEDSL
1998,California,CA,CA-16,Horace Eugene Thayn,REPUBLICAN,27494,117414,23.4163,,,,,MEDSL
